	model	occupation	acc	diff	expected	unexpected	macrodiff
0	openai-community/gpt2	academic	0.6663090128755365	-0.191321134908346	18.962197363802975	19.15351849871132	-0.19132113490834612
1	openai-community/gpt2	accountant	0.8626609442060086	-0.5100640200067829	22.757479857989136	23.26754387799592	-0.5100640200067836
2	openai-community/gpt2	actor	0.9738912732474965	-0.6736474245232403	18.36437890730873	19.03802633183197	-0.6736474245232387
3	openai-community/gpt2	actress	0.9427753934191703	-0.6138017641457706	19.46849889407342	20.082300658219193	-0.6138017641457729
4	openai-community/gpt2	administrator	0.9642346208869814	-0.8204698978746057	22.298681096116532	23.119150993991138	-0.8204698978746059
5	openai-community/gpt2	analyst	0.6487839771101573	-0.14539645226387166	21.41105579613616	21.55645224840003	-0.14539645226387066
6	openai-community/gpt2	architect	0.9638769670958512	-0.7350554350278579	21.85966878626309	22.59472422129095	-0.73505543502786
7	openai-community/gpt2	artist	0.9917739628040058	-1.1068835793987706	19.245625113554098	20.352508692952867	-1.1068835793987688
8	openai-community/gpt2	assistant	0.8293991416309013	-0.39924561482812887	21.364823116253373	21.7640687310815	-0.3992456148281285
9	openai-community/gpt2	astronaut	0.7553648068669528	-0.27466140045799065	22.443213443728816	22.717874844186806	-0.27466140045799037
10	openai-community/gpt2	athlete	0.9120171673819742	-0.5430460961932617	19.95892951280433	20.50197560899759	-0.5430460961932617
11	openai-community/gpt2	attendant	0.892346208869814	-0.6241336128060228	23.338973833938184	23.963107446744207	-0.6241336128060233
12	openai-community/gpt2	auditor	0.9399141630901288	-0.4904740412688903	22.577545718573706	23.068019759842596	-0.4904740412688895
13	openai-community/gpt2	author	0.9170243204577968	-0.5911708451135987	20.056998585767843	20.648169430881442	-0.5911708451135986
14	openai-community/gpt2	broker	0.7703862660944206	-0.3415453253215304	17.785950920612514	18.127496245934047	-0.34154532532153326
15	openai-community/gpt2	chef	0.9667381974248928	-0.9080710105800492	17.21914733888765	18.1272183494677	-0.9080710105800485
16	openai-community/gpt2	chief	0.8025751072961373	-0.2946266838068273	15.261097374903798	15.555724058710625	-0.2946266838068272
17	openai-community/gpt2	cleaner	0.5861945636623748	-0.10110910631215285	15.05501391584099	15.156123022153142	-0.10110910631215297
18	openai-community/gpt2	clergy	0.9957081545064378	-1.4386138684077665	18.123548043473424	19.56216191188119	-1.4386138684077672
19	openai-community/gpt2	clerk	0.8984263233190272	-0.5118741757197782	17.24174377096228	17.75361794668206	-0.5118741757197789
20	openai-community/gpt2	coach	0.9016452074391988	-0.5245211694032508	15.505383955050947	16.0299051244542	-0.5245211694032523
21	openai-community/gpt2	collector	0.765379113018598	-0.33527585876857774	15.487798385865698	15.823074244634276	-0.33527585876857735
22	openai-community/gpt2	comedian	0.8204577968526466	-0.3992922060479422	13.697245140444055	14.096537346491997	-0.39929220604794224
23	openai-community/gpt2	commander	0.9603004291845494	-0.6551930798652005	17.026112778504007	17.681305858369207	-0.6551930798651995
24	openai-community/gpt2	composer	0.9699570815450643	-0.7602159219750008	18.344716577229754	19.104932499204754	-0.760215921975
25	openai-community/gpt2	cook	0.8526466380543634	-0.4263336395842152	15.80132320032952	16.227656839913735	-0.42633363958421455
26	openai-community/gpt2	counselor	0.6992131616595136	-0.2262988359972472	17.203775675341124	17.430074511338372	-0.2262988359972482
27	openai-community/gpt2	curator	0.9656652360515021	-0.7187050374621827	19.10857655255068	19.827281590012863	-0.7187050374621826
28	openai-community/gpt2	dentist	0.974964234620887	-0.9950624596919113	17.60723334627602	18.602295805967927	-0.9950624596919084
29	openai-community/gpt2	designer	0.8201001430615165	-0.3839638250239077	16.387428291877452	16.77139211690136	-0.38396382502390836
30	openai-community/gpt2	detective	0.7868383404864091	-0.33400224172676746	14.882672866867678	15.216675108594444	-0.3340022417267665
31	openai-community/gpt2	developer	0.7281831187410587	-0.29521732371252496	15.191167757405402	15.486385081117927	-0.2952173237125244
32	openai-community/gpt2	diplomat	0.898068669527897	-0.5302878374364414	17.017991243343324	17.548279080779768	-0.5302878374364433
33	openai-community/gpt2	director	0.9434907010014306	-0.5180553673674619	15.390160837228036	15.908216204595497	-0.5180553673674613
34	openai-community/gpt2	doctor	0.9016452074391988	-0.6416950802264125	13.54599885060552	14.187693930831932	-0.6416950802264125
35	openai-community/gpt2	drawer	0.9860515021459227	-0.8672966616007051	18.470128269154625	19.337424930755333	-0.8672966616007081
36	openai-community/gpt2	driver	0.6366237482117311	-0.1383490683524223	14.565212692825579	14.703561761178001	-0.13834906835242222
37	openai-community/gpt2	economist	0.7939914163090128	-0.33993878862547444	20.834557294504496	21.17449608312997	-0.33993878862547433
38	openai-community/gpt2	editor	0.8762517882689557	-0.4268034810842533	21.510716842138375	21.93752032322263	-0.4268034810842529
39	openai-community/gpt2	engineer	0.8898426323319027	-0.5095633515643118	20.682799570209138	21.192362921773448	-0.5095633515643101
40	openai-community/gpt2	farmer	0.9856938483547926	-0.9572186435923214	14.762355534303854	15.719574177896176	-0.9572186435923218
41	openai-community/gpt2	guard	0.7181688125894135	-0.15289058398791136	14.875791018612906	15.028681602600818	-0.15289058398791155
42	openai-community/gpt2	guitarist	0.9581545064377682	-0.8610690700820246	19.44207763364898	20.303146703731006	-0.8610690700820243
43	openai-community/gpt2	historian	0.7435622317596566	-0.3465997569039145	15.959960637344993	16.30656039424891	-0.346599756903915
44	openai-community/gpt2	inspector	0.9531473533619457	-0.6953661690795201	21.807416887924564	22.502783057004084	-0.6953661690795201
45	openai-community/gpt2	instructor	0.932761087267525	-0.679079980127119	22.86388117049385	23.542961150620968	-0.679079980127117
46	openai-community/gpt2	journalist	0.8522889842632332	-0.3603991189910277	12.12258501591771	12.482984134908738	-0.36039911899102783
47	openai-community/gpt2	judge	0.7671673819742489	-0.24251503221296275	12.585278222148169	12.827793254361133	-0.2425150322129639
48	openai-community/gpt2	landlord	0.9774678111587983	-0.9138573379134586	16.56700942854001	17.48086676645347	-0.9138573379134591
49	openai-community/gpt2	lawyer	0.7932761087267525	-0.344639669842645	12.992972577931372	13.337612247774018	-0.34463966984264616
50	openai-community/gpt2	legislator	0.9631616595135909	-0.6909839056421587	18.830778602878425	19.52176250852058	-0.6909839056421561
51	openai-community/gpt2	manager	0.8733905579399142	-0.49495131058754327	15.61937174776593	16.114323058353474	-0.4949513105875436
52	openai-community/gpt2	mechanic	0.9484978540772532	-0.7783769220753289	16.952985147890956	17.731362069966284	-0.7783769220753278
53	openai-community/gpt2	minister	0.9864091559370529	-0.9764388630830168	15.264365365065219	16.240804228148235	-0.9764388630830165
54	openai-community/gpt2	model	0.6834763948497854	-0.15596239351919286	12.367728722112544	12.523691115631737	-0.15596239351919294
55	openai-community/gpt2	musician	0.9606580829756796	-0.7155069346421096	14.483200023443743	15.198706958085852	-0.715506934642109
56	openai-community/gpt2	nurse	0.7771816881258942	-0.3798826110891689	15.143929851583827	15.523812462672996	-0.3798826110891689
57	openai-community/gpt2	official	0.9824749642346209	-0.7718403042641833	19.368758472420797	20.140598776684982	-0.7718403042641846
58	openai-community/gpt2	operator	0.9603004291845494	-0.6874229212175622	20.010242766065147	20.697665687282708	-0.6874229212175607
59	openai-community/gpt2	photographer	0.8626609442060086	-0.5081019546511518	15.1065609400535	15.614662894704653	-0.5081019546511527
60	openai-community/gpt2	physician	0.894134477825465	-0.6698173741584854	16.47547750872092	17.14529488287941	-0.6698173741584874
61	openai-community/gpt2	pilot	0.9180972818311874	-0.5096852579853566	16.046722815101578	16.556408073086935	-0.5096852579853568
62	openai-community/gpt2	poet	0.9992846924177397	-1.412361286399361	14.699702355483058	16.112063641882422	-1.4123612863993635
63	openai-community/gpt2	politician	0.8748211731044349	-0.45934522407760947	12.88820999818128	13.347555222258888	-0.4593452240776088
